site_code,node,site_name,site_type,site_description
JDACOL,JDA,JDA - Release into the Collection Channel upstream of the Dewatering Facility,MRR,IntraDamReleaseSite
JDAFBY,JDA,JDA - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
JDAGAT,JDA,JDA - Release into Flume between Separator Exit and the Primary PIT-Tag Diversion Gate,MRR,IntraDamReleaseSite
JDAGWL,JDA,JDA - Release into Gatewell(s),MRR,IntraDamReleaseSite
JDALD1,JDA,JDA - Release into south fish ladder,MRR,IntraDamReleaseSite
JDALD2,JDA,JDA - Release into north fish ladder,MRR,IntraDamReleaseSite
JDAMRT,JDA,JDA - Mortality Recovery,MRR,IntraDamReleaseSite
JDARRR,JDA,JDA - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility,MRR,IntraDamReleaseSite
JDATAL,JDA,JDA - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
JDJ,JDA,John Day Dam Juvenile,INT,This site monitors the John Day Dam smolt bypass and sampling facility.  The site operates seasonally for juvenile outmigration and includes antennas in the full flow bypass flume that is often active before and after the sampling facility each year. Separation by Code (SbyC) is also available to allow researchers to selectively divert PIT-tagged fish to two separate sample tanks for additional sampling.
JDPI,JDA,Preacher's Island downstream of John Day Dam,MRR,AvianColony
JNSCAS,JDA,"Jones Creek Acc. Site, WF Hood River",MRR,AcclimationPond
JO1,JDA,John Day South Fish Ladder,INT,"This site monitors the south fish ladder at John Day Dam with antennas in the weir orifices and overflows of two weir walls. The antennas were installed February 2017 without dedicated communication and synchronization lines. Only the upstream weir antennas were active for the first year. During that time PIT tag detections were stored to the transceiver buffers and then submitted to PTAGIS as passive recaptures. The site became fully operational and began automated data submissions of interrogation data on February 14, 2018."
JO2,JDA,John Day North Fish Ladder,INT,"This site monitors the north fish ladder at John day dam with antennas installed in the weir orifices and overflows of two weir walls. The antennas were installed February 2017 without dedicated communication and synchronization lines. Only the upstream weir antennas were active for the first year. During that time PIT tag detections were stored to the transceiver buffers and then submitted to PTAGIS as passive recaptures. The site became fully operational and began automated data submissions of interrogation data on February 14, 2018."
KAL,JDA,Kalama River Instream Array,INT,"Instream PIT array on the Kalama River located just upstream of the Kalama Falls Hatchery (KFH) fish barrier.    The Kalama River supports several populations of ESA-listed salmon and steelhead, with PIT tags being implanted in out-migrating steelhead and spring Chinook salmon smolts. This PIT array will: 1) improve the accuracy and precision of summer steelhead abundance estimates, 2) validate whether species are jumping the fish barrier, 3) provide infrastructure to further evaluate fish ladder use at KFH, and 4) serve a staple of the ongoing lifecycle monitoring program on the Kalama River. "
KALA,JDA,"Kalama Falls Hatchery, WDFW",MRR,Hatchery
KALAMR,JDA,Kalama River,MRR,River
KLICKR,JDA,Klickitat River,MRR,River
KLIH,JDA,Klickitat Hatchery,MRR,Hatchery
KLR,JDA,Klickitat Riv. Floating Array,INT,"The Klickitat River Floating PIT tag array is located in the lower Klickitat River, Klickitat County, Washington.  The site consists of two arrays (upstream and downstream).  Three 10 foot antennas comprise each array.  Each array spans a width of approximately 32 feet.  Each array is fixed to a channel spanning cable that suspends the arrays on the water surface.  An MTS controller and six IS1001 ACN nodes are deployed to interrogate and record data of PIT tagged fish detected by the array."
LAKE2C,JDA,"Lake Creek, Metolius River watershed",MRR,River
LAKEBR,JDA,Lake Branch (tributary to West Fork Hood River),MRR,River
LASTC,JDA,Last Creek - Clackamas Subbasin,MRR,River
LAURLK,JDA,Laurance Lake Reservoir,MRR,Other
LD1,JDA,Lebanon Dam South Ladder,INT,"Two instream arrays installed in the south fish ladder at Lebanon dam on the South Santiam River, a tributary to the Willamette River. The upstream array consists of three externally shielded pass-through antennas located at the ladder exit and the downstream array consists of two internally shielded pass-through antennas covering the ladder orifices of weir 7 and one unshielded cord antenna covering the center slot of weir 7. The antennas are powered by a Biomark Master Controller and IS1001 readers. The site is powered by AC power and data is collected using a cell modem. The site was originally operated by ODFW from 2015-2018 and was reinstalled in 2022."
LD2,JDA,Lebanon Dam North Ladder,INT,"Instream array installed in the north fish ladder at Lebanon dam on the South Santiam River, a tributary to the Willamette River. A pass-through externally shielded antenna is located at the ladder exit on weir 7.  An externally shielded antenna is located at the overflow of weir 4 and an internally shielded antenna is located at the weir 4 orifice. The antennas are powered by a Biomark Master Controller and IS1001 readers. The site is powered by AC power and data is collected using a cell modem. The site was originally operated by ODFW from 2015-2018 and was reinstalled in 2022."
LD3,JDA,Lebanon Dam Diversion Bypass,INT,"Two-antenna array mounted on the Lebanon dam diversion bypass pipe at Lebanon dam on the South Santiam River, a tributary to the Willamette River. The bypass pipe diverts fish around the dam and empties back into the river. Each antenna is connected to a Biomark IS1001 reader. The site is powered by four batteries connected to a battery switcher. The batteries are charged by on-site AC power. The data is collected with a cell modem. The site was originally operated by ODFW from 2015-2018 and was reinstalled in 2022."
LD4,JDA,Lebanon Dam Spillway,INT,"Array is a single line of antennas attached to the spillway wall spanning the entire length of the Lebanon Dam on the South Santiam River, a tributary of the Willamette River. All antennas are pass-over HDPE pipe antennas mounted on aluminum plates on the spillway face below the Obermeyer weir and covered with a FRP cover plate. The site is monitored by three Biomark Master Controllers, each connected to ten IS1001 readers. The site is powered by AC power. Data is collected with a cell modem. The site was originally operated by ODFW from 2015-2018 and was reinstalled in 2022."
LEA,JDA,Leaburg Dam Combined Fishways,INT,"Leaburg Dam is located at km 56 on the McKenzie River, east of Eugene, OR.  The screened bypass diverts downstream migrants from the turbine intakes.  Dual FDX/HDX PIT tag detectors were installed in the bypass exit in December 2009.  Smolts can also pass through the spillway.  There is a fish ladder located on each bank. The antennas in the fish ladders never reported data to PTAGIS. Site was upgraded from RM310 reader boards to IS1001s in May 2016. The IS1001s were set to read FDX tags only. A third antenna was added June 2017. Site is no longer active."
LEA,JDA,Leaburg Dam,MRR,Dam
LEAB,JDA,Leaburg Hatchery,MRR,Hatchery
LEABYP,JDA,LEA - Release into the Facility Bypass Flume/Pipe,MRR,IntraDamReleaseSite
LEAFBY,JDA,LEA - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
LEATAL,JDA,LEA - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
LEB,JDA,Lebanon Dam,MRR,Dam
LEBFBY,JDA,LEB - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
LEBLDS,JDA,LEB - Release into the south ladder trap.,MRR,IntraDamReleaseSite
LEL,JDA,Leaburg Dam Fish Ladders,INT,"Fish Ladder detection arrays at Leaburg Dam on the McKenzie R, a tributary to the Wilammette R.  The arrays are in the east and west ladders near the upstream ladder exits.  The site includes an IS-1001-MC and four IS1001-ACN’s, cell modem, power supply and four antennas.  The antenna configuration for the West ladder consists of two full spanning pass-thru antennas, one immediately adjacent to the other.  Detection for the MC is set at both HDX and FDX detection to enable detection of Salmon/Steelhead, Bull Trout, and Lamprey.  The East Ladder has a full-spanning pass-thru antenna and a ladder-window antenna that interrogates the volume of water immediately adjacent to the viewing window located in the fish ladder.  Each configuration allows for determining system efficiency.  The antennas are all custom-built with ferrite shielding and 10 ga Litz-wire.   The site is on grid power, with battery back-up.  The site is on EWEB property, and managed by the Eugene Water and Electric Board. Site is no longer active."
LEWCLK,JDA,"Lewis and Clark River, tributary to Youngs Bay",MRR,River
LEWH,JDA,Lewis River Hatchery,MRR,Hatchery
LEWIEF,JDA,East Fork Lewis River,MRR,River
LEWISP,JDA,Lewis River Release Pond,MRR,AcclimationPond
LEWISR,JDA,Lewis River,MRR,River
LFF,JDA,Lyle Falls Fishway,INT,This site monitors the Lyle Falls fishway and adult trap with three antennas in the fishway channel and 10 antennas in the wet lab associated with the fish trap.
LILYSL,JDA,"Lily Slough, Lower Columbia",MRR,Other
LKLICR,JDA,Little Klickitat River,MRR,River
LKR,JDA,Little Klickitat River Array,INT,"The Little Klickitat River PIT tag interrogation array is located in the Little Klickitat River, a tributary to the Klickitat River, Klickitat County, Washington.  The PIT tag array is located approximately 0.4 kilometers upstream from the confluence with the Klickitat River. The site consists of two channel spanning arrays (2x2 antenna configuration). Each array spans a width of approximately 10 meters. Antennas are fixed to the substrate in a pass-over configuration.  An MTS controller and four IS1001 ACN nodes are deployed to interrogate and record data of PIT tagged fish detected by the array."
LMEMIS,JDA,"Little Memaloose Island, Columbia River",MRR,AvianColony
LMILIS,JDA,"Little Miller Island, Columbia River",MRR,AvianColony
LNSANR,JDA,Little North Santiam River,MRR,River
LOGCC,JDA,"Logging Camp Creek, Klickitat River",MRR,River
LOP,JDA,"Lookout Point Dam (USACE), MF Willamette River",MRR,Dam
LOPREG,JDA,LOP - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,MRR,IntraDamReleaseSite
LOPTAL,JDA,LOP - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
LOPTUR,JDA,LOP - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,MRR,IntraDamReleaseSite
LRH,JDA,Lewis River Hatchery Returns,INT,"The Lewis River hatchery is located on the lower Lewis River at approximately river KM 25. The hatchery includes release structures, sort facilities, and multiple ponds/raceways. The interrogation site consists of a single flat plate antenna located on the adult sorting table."
LWL,JDA,Ltl. White Salmon NFH returns,INT,Adult fish ladder allowing passage from the Little White Salmon River into the adult holding ponds at Little White Salmon NFH. All fish captured in the ponds are sorted and may either be surplused/spawned or returned to the river via an underground tube. The tube empties into the Little White Salmon River directly below the fish ladder entrance.
LWSALR,JDA,Little White Salmon River,MRR,River
LWSH,JDA,Little White Salmon National Fish Hatchery,MRR,Hatchery
LYLFAT,JDA,"Lyle Falls Adult Fish Trap, Klickitat River",MRR,TraporWeir
MARI,JDA,Marion Forks Fish Hatchery,MRR,Hatchery
MARIOC,JDA,"Marion Creek, tributary to North Santiam River",MRR,River
MASON,JDA,"Mason Creek, tributary to East Fork Lewis River",MRR,River
MCKA2C,JDA,"McKay Creek, Crooked River",MRR,River
MCKA2P,JDA,"Acclimation Pond on McKay Creek , tributary to Crooked River in the Deschutes River Basin",MRR,AcclimationPond
MCKE,JDA,McKenzie Hatchery,MRR,Hatchery
MCKER,JDA,McKenzie River,MRR,River
MCKESF,JDA,South Fork McKenzie River,MRR,River
MEG,JDA,Megler Cr.-Col. R. Estuary,INT,"Megler Creek is a 2nd order stream that flows south out of the Willapa Hills into the Lower Columbia River (RKM 13) Estuary. Tidal influence extends approximately 300ft into Megler Creek from the Columbia River. The antennas span the wetted width of the channel, and are configured as separate nodes to provide directional detection/movement of tagged fish. The property is owned by the National Park Service, part of the Lewis and Clark National Historical Park. A transformer and power outlet with a meter was installed to power the set up. The site is manually downloaded monthly to a USB drive; files are stored on the CREST server."
MEGC,JDA,"Megler Creek, tributary to Columbia River",MRR,River
METOLR,JDA,Metolius River,MRR,River
MFD,JDA,Mayfield Dam,MRR,Dam
MFDFTF,JDA,Mayfield Dam Entrance to Counting House Raceways,MRR,IntraDamReleaseSite
MFDLBN,JDA,Mayfield Dam North Louver Bay,MRR,IntraDamReleaseSite
MFDLBS,JDA,Mayfield Dam South Louver Bay,MRR,IntraDamReleaseSite
MFDSEP,JDA,Mayfield Dam Secondary Separator Downwell,MRR,IntraDamReleaseSite
MHP,JDA,Merwin Hydroeletric Project,INT,"The Merwin Adult Collection Facility is located at Merwin Dam.  Adult fish enter the facility through the adult fish ladder where they are trapped and hoisted via an elevator into the sorting facility.  Fish pass through the CWT and PIT tag readers before being discharged onto a sorting table where they are examined, possibly tagged, and sorted to one of four different destinations: downstream, hatchery surplus, hatchery broodstock, upstream of Swift reservoir."
MHP,JDA,Merwin Hydroelectric Project,MRR,Dam
MHPFBY,JDA,MHP - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
MHPTAL,JDA,MHP - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
MILL3C,JDA,"Mill Creek, Columbia River at The Dalles, OR",MRR,River
MILL4C,JDA,"Mill Creek, Lower Columbia River, Washington",MRR,River
MIN,JDA,"Mine Reach of Wind River, WA",INT,"An instream interrogation system in the Wind River, WA. The system consists of a IS1001 MTS with two individual IS1001 Nodes. The two antennas are each 17 feet long and arranged in one cross-channel array. Power is provided by solar panels charging a battery bank. Downloads are manual and typically done during weekly site visits, though that interval may be longer during winter due to snow."
MINTO,JDA,Minto Fish Facility,MRR,Hatchery
ML1,JDA,Lower Mill Creek (MILL4C),INT,"Interrogation site to monitor/research: salmon and steelhead life cycles, juvenile coho life history diversity, contributions of the various juvenile coho life histories (fall migrants, winter migrants, spring (smolt) migrants) to adult escapement, improve SARs for coho and steelhead in the lower Columbia. "
MLAK2C,JDA,"Middle Fork Lake Creek, Metolius River watershed",MRR,River
MLRSNI,JDA,"Miller Sands Island, Columbia River Estuary",MRR,AvianColony
MOLALR,JDA,Molalla River,MRR,River
MOLRNF,JDA,North Fork Molalla River,MRR,River
MSANTR,JDA,"Middle Santiam River, Oregon",MRR,River
MSLA2C,JDA,"Middle Fk South Fk Lake Creek, Metolius River watershed",MRR,River
MTD,JDA,Mill Creek at The Dalles,INT,"Instream detection array approximately 2.5 km upstream of the mouth of Mill Creek and the confluence with the Columbia River.  Consisting of a Bioprobe Board connected to a FS1001M multiplexing receiver, two antennas, on grid power and a battery backup.  Antenna array consists of two antennas that span the normal high water mark and are secured to the substrate for pass-over detection.  Site operates year round.  Site is on private land."
MUDDYP,JDA,Muddy River Acclimation Pond,MRR,AcclimationPond
MUDDYR,JDA,Muddy River - tributary to Lewis River,MRR,River
MULTCH,JDA,"Multnomah Channel, Columbia River",MRR,River
MULTMA,JDA,"Multnomah Channel Marsh, Lower Wilamette",MRR,Other
MVF,JDA,Moving Falls Fish Ladder,INT,The interrogation site is located in a fish ladder at a site known as Moving Falls on the West Fork of the Hood River. The ladder is a vertical slot type construction. Two antennas are installed in a pass through configuration at two of the vertical slots at the upstream end of the ladder. At the upstream terminus of the ladder there is an adult trap. The trap is operated most of the year but is closed seasonally in the winter months. When the trap is not operated fish passage in the ladder is maintained except during extreme high water events. The antennas are controlled by two synced Biomark IS1001 ACN readers. Power is provided by solar panel(s) charging a deep cycle battery bank. Interrogation data is manually downloaded periodically.
MVFLAP,JDA,"Moving Falls Acc. Ponds, WF Hood River",MRR,AcclimationPond
NEALC,JDA,"Neal Creek, tributary to Hood River (OR)",MRR,River
NSANTR,JDA,"North Santiam River, Oregon",MRR,River
NSB,JDA,N Santiam at Upper Bennett Dam,INT,"Instream detection array on the North Santiam River, a tributary to the Wilammette River. The array is located in the fish ladder at Upper Bennet Dam near the town of Stayton. The site is monitored by an IS-1001-MC and two IS1001-ACNs. The hardware at the site includes the master controller, two ACNs, cell modem, power supply and two antennas. The antenna configuration consists of two arrays of one antenna each. The antennas are each pass-thru anteannas located outside the only ladder exit and within the ladder in the only slot available for passage. One antenna is approximately 4.5ft x 10ft x 2in, and fixed to the outside exit of the fish ladder. This antenna is ferrite-tile shielded low profile pass-thru antenna. The other antenna is an unshielded flexible antenna secured to the downstream side of a 10ft x 2ft ladder slot, located within the ladder. It is also a pass thru antenna, approximately 8ft x 2ft x 1in, made of unshielded flexible hose. The site is powered by generator and operates year-round. The site is on the City of Salem property. Site is no longer active."
NSCAPC,JDA,North Scappoose Creek,MRR,River
NSM,JDA,Minto Dam Ladder N Santiam R,INT,"Fish Ladder detection array at the Minto Dam Fish Collection Facility on the North Santiam River, a tributary to the Wilammette River near the town of Gates, OR. The site is monitored by an IS-1001-MC and five IS1001-ACN’s. The hardware at the site includes the master controller, 5x ACN’s, cell modem, power supply and five antennas. The antennas are all custom-built pass-thru antennas with ferrite shielding and 10 ga Litz-wire (the Flume Antennas are 12 ga ribbon wire). Two antennas are side by side located within the collection flume, one antenna is near the midpoint of the ladder near the powerhouse, and two antennas are on the downstream end of the ladder near the entrance at the North Santiam River. The site is powered by grid power, with battery back-up and a charging switch for alternating battery-banks. The site is on Federal property managed by the Portland District US Army Corps of Engineers.  The collection facility is managed by the Oregon Department of Fish and Wildlife. Site is no longer active."
NSS,JDA,North Santiam at Stayton Canal,INT,"Instream detection array on the North Santiam River, a tributary to the Wilammette River. The array is located in the screened diversion canal located near the town of Stayton, and downstream of Upper Bennet Dam and Lower Bennet Dam. The site is monitored by an IS-1001-MC and two IS1001-ACNs. The hardware at the site includes the master controller, two ACNs, cell modem, power supply and two antennas. The antenna configuration consists of two arrays of one antenna each. The antennas are each pass-thru anteannas located in the head-box at the apex of the screened diversion channel. One antenna is approximately 3ft x 3ft x 2in, and fixed in the canal as a ferrite-tile shielded low profile pass-thru antenna. The other antenna is removable, and placed in the stop-log slot for the head-box. It is also a pass thru antenna, approximately 3ft x 3ft x 3in, made of unshielded conduit.  The site is grid powered and operates year-round. The site is on the City of Salem property, fenced and monitored by video. Site is no longer active."
OCHOCC,JDA,"Ochoco Creek, Crooked River",MRR,River
ONTAC,JDA,"Oneonta Creek, Lower Columbia",MRR,River
OPSH,JDA,DVWD Opal Springs Hatchery ,MRR,Hatchery
PANT2C,JDA,"Panther Creek (trib. to Wind River, Wash.)",MRR,River
PARK,JDA,Parkdale Hatchery,MRR,Hatchery
PD5,JDA,Columbia River Estuary rkm 62,INT,"In-river detection system located at river km 62 in the Columbia River Estuary. The array (PD5) consists of up to twelve 8ft x 20ft antennas operated by NOAA Fisheries, targeting detections of migrating juvenile and adult salmonids. The array (PD5) was first installed on 3/20/2023 for continuous monitoring.  The array includes a Biomark IS1001-MC transceiver, with an individual IS1001 reader assigned to each antenna. A solar panel is affixed to a steel tower mounted to a piling along the dike to charge a battery bank of four 12v marine batteries. Remote communication will be provided via a cellular modem.  All electronics are contained within steel boxes affixed to the electronics tower. Antenna groups are based on orientation relative to the pile dike, with numbering starting at the downstream terminal king piling of the structure. We intend to operate this site annually from March through September."
PD6,JDA,Columbia River Estuary rkm 68,INT,"In-river detection system consisting of up to twelve 8ft x 20ft antennas in the Columbia River Estuary. The array is located at river km 68, is operated by NOAA Fisheries, and was installed on April 29, 2022 for continuous monitoring, targeting detections of migrating juvenile salmonids. This site is taken down and reinstalled seasonally, typically operating from March through October. The array includes a Biomark IS1001 master controller, with an individual IS1001 reader assigned to each antenna. A solar panel array is affixed to an electronics tower to charge a battery bank of four 12v marine batteries. Remote communication will be provided via a cellular modem.  All electronics are contained within metal boxes affixed to a steel tower. Antenna groups are based on orientation relative to the pile dike, with numbering starting with the terminal king piling of the structure. "
PD7,JDA,Columbia River Estuary rkm 70,INT,"In-river detection system consisting of four 8ft x 20ft antennas in the Columbia River Estuary. The array (PD7) is located at river km 70 (46.14661N, -123.379867W), is operated by NOAA Fisheries, and was installed for testing on 8 August, 2011 and later modified for continuous monitoring on 11 August, 2011. The array includes an IS1001 transceiver (firmware v1.7.1) and individual IS1001 readers. Electrical power is provided by a solar panel array with backup battery power, and remote communication is provided by a cellular modem. Antenna groups are named based on their orientation relative to the pile dike starting with Configuration Sequence 180. Prior configurations were named based on orientation relative to flow."
PD8,JDA,Columbia River Estuary rkm 82,INT,"In-river detection system located at river km 72 (USCG Navigation Marker 59) in the Columbia River Estuary. The array (PD8) consists of up to five 8ft x 20ft antennas operated by NOAA Fisheries, targeting detections of migrating juvenile and adult salmonids. The array (PD8) was originally installed upstream near rkm 82 in 2023, then was moved downstream to its current location on 4/22/2024.  The site includes a Biomark IS1001-MC transceiver with an individual IS1001 reader assigned to each antenna. A solar panel affixed to an electronics tower supplies charging power for a battery bank of four 12v marine batteries. Remote communication (via cellular modem), and other components are contained within steel boxes mounted to the tower. Antenna groups are based on orientation relative to the pile dike, with numbering starting from shore. We intend to operate this site annually from March through September. "
PDO,JDA,Columbia River Rkm 75 OR,INT,"In-river detection system consisting of up to four 8ft x 20ft antennas in the Columbia River Estuary. The array (PDO) is located at river km 76 (46.148131˚N, -123.297803 ˚W), is operated by NOAA Fisheries, and was installed on 4/18/2025 for continuous monitoring, targeting detections of migrating juvenile salmonids. The array includes a Biomark  IS1001 transceiver (firmware v 1.7.2), with an individual IS1001 reader assigned to each antenna. Electronics and solar are housed in a floating barge tethered downstream of the dike. Remote communication will be provided via a cellular modem. Antenna groups are based on orientation relative to the pile dike, starting with the terminal king piling of the structure. We intend to operate this site annually from March through September."
PDW,JDA,Columbia River Rkm 75 WA,INT,"In-river detection system consisting of up to six 8ft x 20 ft antennas oriented along the pile dike.  The array is located at river km75 (46.150972˚ N, 123.305667˚ W) and was installed on April 1, 2025 targeting detections of migrating juvenile salmonids. The array includes a Biomark IS1001 master controller with individual IS1001 readers assigned to each antenna. A solar panel array is affixed to an electronics barge to charge a battery bank of four 12v marine batteries. Remote communication will be provided via a cellular modem."
PEL,JDA,Pelton Dam Ladder - Deschutes,INT,"The ladder at PGE's Pelton Dam on the Deschutes River (rkm 328.161) is used as a rearing pond for spring Chinook salmon, and as a trapping facility for returning adults. This interrogation site monitors the volitional release from the ladder as well as the weirs downstream of the trap for adult trap collection of broodstock and trap-and-haul operations. It consists of two antennas located on adjacent weirs in the lower part of the ladder (for juvenile/smolt detections), and two antennas on a ladder-weir that monitor adult returns.  Each antenna is a custom built loop that monitors passage at the concrete weir. The antennas for juvenile detection cover 100% of the flow as there is no flow over the top of the weir.  In addition, the antennas downstream of the trap also cover 100% of the flow on one weir. The transceiver at the site is a IS-1001-MC that is networked to individual IS-1001s located near each weir. The site is operated on grid power with automated downloads daily. Typical times of operation for the juvenile antennas (Antennas 1 and 2) are from April 1 to May 30th.  While the adult ladder antennas (Antennas 3 and 4) operate year-round."
PELTON,JDA,Pelton Ladder (Deschutes River) Acclimation Pond,MRR,AcclimationPond
PER,JDA,Pelton Reregulating Dam,MRR,Dam
PERAFT,JDA,PER - Adult Fish Trap,MRR,IntraDamReleaseSite
PERTAL,JDA,PER - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
PIER3,JDA,"Pier 3 boat yard, Port of Astoria, OR ",MRR,AvianColony
PINHC,JDA,Pinhead Creek - Clackamas Subbasin,MRR,River
PWD,JDA,"Powerdale Dam, Hood River",MRR,Dam
PWDFBY,JDA,PWD - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
QUARTC,JDA,"Quartzville Creek, tributary to Middle Santiam River",MRR,River
RAMSYC,JDA,"Ramsey Creek, Fifteen Mile Creek Watershed",MRR,River
RATTLC,JDA,Rattlesnake Creek,MRR,River
RBF,JDA,Round Butte Fish Xfer Facility,INT,Round Butte Dam Fish Transfer Facility
RCX,JDA,Rattlesnake Creek Flat Plates,INT,"This in-stream interrogation system is located on Rattlesnake Creek, in the White Salmon River Basin on the Lower Columbia River above Bonneville Dam."
RGRSPC,JDA,"Roger's Spring Creek, Middle Fork Hood River",MRR,River
RICEIS,JDA,Rice Island,MRR,AvianColony
ROCKC,JDA,"Rock Creek, tributary to East Fork Lewis River",MRR,River
ROU,JDA,Round Butte Dam,MRR,Dam
ROUFTF,JDA,ROU - Release into the Fish Transfer Facility,MRR,IntraDamReleaseSite
ROUTAL,JDA,ROU - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
RSSNIS,JDA,"Russian Island, Columbia River Estuary",MRR,Other
SANTIR,JDA,"Santiam River, Oregon",MRR,River
SBSLMA,JDA,"Steamboat Slough Marsh, Lower Columbia",MRR,Other
SCAPPB,JDA,"Scappoose Bay, Oregon",MRR,River
SCAPPC,JDA,Scappoose Creek,MRR,River
SCHAFC,JDA,"Schafer Creek, Klickitat River Basin",MRR,River
SCL,JDA,Spring Creek NFH Adult Ladder,INT,Fish ladder allowing passage from the Columbia River into the adult holding ponds at Spring Creek NFH.  The adult fish ladder at Spring Creek NFH is operational from late August through early October annually.  The detector is approximately 60 meters up the adult ladder and is comprised of three antennas located in separate ladder cells.  All fish entering the facility from the Columbia pass through the antennas and after ladder navigation are sorted and may either be either surplused or spawned.  Some captured adults are returned to the river from the spawn collections (adults with adipose fin present and no coded wire tag).  Released fish are passed through a tube that empties into the Columbia River directly upstream the fish ladder entrance.
SERH,JDA,"Sea Resources Hatchery (Chinook River, Washington)",MRR,Hatchery
SFC,JDA,Cougar DamTailrace SF McKenzie,INT,"The Cougar Dam PIT (Passive Integrated Transponder) detection array is installed in the Regulating Outlet (RO) and turbine tailrace of Cougar Dam on the South Fork McKenzie River in Oregon. The array consists of six antennas: four located on the river-left branch originating from the RO, and two on the river-right side at the turbine outlet. The system employs a Biomark Master Controller along with six individual IS-1001 readers connected to each antenna.    On the RO side, two antennas are ferrite-shielded flat plate antennas designed to focus the electromagnetic field for improved detection efficiency while minimizing interference from surrounding metal structures. The other two are large PEX loop antennas situated just downstream of the RO sill, optimized for detecting tags in a wider detection zone.    On the turbine side, both antennas are floating PEX loop antennas located at the confluence where water from the turbine outlet joins the main river. These floating designs adjust to changing water levels and flow conditions, ensuring consistent detection performance.    The site is grid-powered and operates year-round, providing continuous monitoring of fish migration through the dam's outlets."
SFL,JDA,Shipherd Falls Ladder,INT,"This site is located at Shipherd Falls adult fish ladder, on the Wind River near Carson, WA. The PIT tag interrogation antennas are installed in series in the second and third slots below the adult fish trap. Antenna F1 is upstream of antenna F2. All fish migrating up the fishway pass through these antennas prior to reaching the adult fish trap. When both the interrogation site and trap are in operation, tagged fish that successfully pass the antennas and enter the trap will therefore be logged as interrogations and recaptures in the trap. When the trap is out of operation (May-early June), the tagged fish will be interrogated only. During the winter, when the trap is in operation but the antennas are not, PIT-tagged fish will be reported as recaptured only."
SFM,JDA,South Fork McKenzie River,INT,"An instream interrogation site in the South Fork McKenzie River, OR, located just upstream of Cougar Reservoir. This site is a pilot for an initiative in USGS to pair various fish detection technology with existing Flow Gages. A USGS flow gage, 14159200, is located about 400 m upstream of this interrogation site. The site will provide data on both PIT tagged fish from ODFW and USACE work, and sediment studies conducted by USGS Water Resources. Initial configuration is of one array of 4 20-foot antennas operated by a IS1001 MC and powered by solar."
SHERFT,JDA,"Sherars Falls Fishway Trap, Deschutes River",MRR,TraporWeir
SHK,JDA,Shitike Creek PIT Array,INT,"The Shitike Creek PIT tag array is a fifty foot array, consisting of three flat panel antenna (one 10 foot and two 20 foot) installed end to end across the entire stream channel. The array was installed during the week of February 24, 2014 by BIOMARK and CTWSRO personnel. The array is located across the tailout of a pool created by a bridge (known as the Scale Bridge) that is used by logging truck to deliver lumber to the Warm Springs Mill."
SHP,JDA,Swift Hydroelectric Project,INT,"Fish enter the facility via a floating surface collector where they are sorted by size.  Juvenile fish are either shunted directly to a holding tank to await transport downstream of Merwin Dam or they are sent to a sampling table where they are examined, possibly tagged, and sorted to either upstream of the Swift reservoir or downstream of Merwin Dam. All fish diverted to either tank pass through a PIT tag detector.  There are two identical holding and sampling areas on the collector in which fish can travel.  These areas are referred to the Port Side and Starboard Side. The port antenna was identified as 01 and the starboard antenna was 02. In February 2018 a third antenna was installed just above the sorting rack with an antenna ID of 01, and the port and starboard antennas were changed to 03 and 02, respectively."
SHP,JDA,Swift Hydroelectric Project,MRR,Dam
SHPFBY,JDA,SHP - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
SHPTAL,JDA,SHP - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
SHTIKC,JDA,"Shitike Creek, Deschutes River Basin",MRR,River
SID,JDA,Sauvie Island Dairy Creek,INT,"Instream detection array in Dairy Creek, an offchannel feeder to Sturgeon Lake, on Sauvie Island of the Columbia River. Array consists of a master controller and eight antennas, each with Biomark 24v-IS1001s. Three antenna arrays span the creek up to the normal high water mark. Five antennas are secured to the substrate for pass-over detection.  Three sail antennas in the downstream most array are secured to the substrate for vertical interrogation of the water column (to 10 ft deep), and can pivot in 360 degrees for tide cycle changes.  The combined antennas provide three separate arrays.  Site is grid powered and operates year-round. Site is on private land."
